"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"United Kingdom (UK)","22.02.2015 17:30 - 22.02.2015 18:00 (UTC)","N/A","n/e","n/e","12881","14459","0","n/e","n/e","n/e","1378","","1038","n/e","n/e","7573","76","n/e","0","n/e","3172","2810"
"United Kingdom (UK)","22.02.2015 18:00 - 22.02.2015 18:30 (UTC)","N/A","n/e","n/e","12828","14440","0","n/e","n/e","n/e","1407","","1035","n/e","n/e","7571","76","n/e","16","n/e","3204","2938"
"United Kingdom (UK)","22.02.2015 18:30 - 22.02.2015 19:00 (UTC)","N/A","n/e","n/e","12304","14509","0","n/e","n/e","n/e","1206","","1035","n/e","n/e","7595","75","n/e","0","n/e","3288","3080"
"United Kingdom (UK)","22.02.2015 19:00 - 22.02.2015 19:30 (UTC)","N/A","n/e","n/e","11565","14498","0","n/e","n/e","n/e","656","","1034","n/e","n/e","7723","75","n/e","0","n/e","3350","3441"
"United Kingdom (UK)","22.02.2015 19:30 - 22.02.2015 20:00 (UTC)","N/A","n/e","n/e","10324","14445","0","n/e","n/e","n/e","298","","1024","n/e","n/e","7751","75","n/e","0","n/e","3381","3477"
"United Kingdom (UK)","22.02.2015 20:00 - 22.02.2015 20:30 (UTC)","N/A","n/e","n/e","8780","14405","0","n/e","n/e","n/e","295","","997","n/e","n/e","7795","75","n/e","0","n/e","3418","3601"
"United Kingdom (UK)","22.02.2015 20:30 - 22.02.2015 21:00 (UTC)","N/A","n/e","n/e","7027","14259","0","n/e","n/e","n/e","308","","860","n/e","n/e","7806","75","n/e","0","n/e","3413","3676"
"United Kingdom (UK)","22.02.2015 21:00 - 22.02.2015 21:30 (UTC)","N/A","n/e","n/e","5989","14081","0","n/e","n/e","n/e","339","","818","n/e","n/e","7807","75","n/e","0","n/e","3396","3601"
"United Kingdom (UK)","22.02.2015 21:30 - 22.02.2015 22:00 (UTC)","N/A","n/e","n/e","5086","12897","0","n/e","n/e","n/e","286","","742","n/e","n/e","7809","75","n/e","0","n/e","3418","3725"
"United Kingdom (UK)","22.02.2015 22:00 - 22.02.2015 22:30 (UTC)","N/A","n/e","n/e","4461","11673","0","n/e","n/e","n/e","293","","787","n/e","n/e","7812","75","n/e","0","n/e","3415","3588"
"United Kingdom (UK)","22.02.2015 22:30 - 22.02.2015 23:00 (UTC)","N/A","n/e","n/e","3819","10619","0","n/e","n/e","n/e","219","","671","n/e","n/e","7805","75","n/e","0","n/e","3322","3466"
"United Kingdom (UK)","22.02.2015 23:00 - 22.02.2015 23:30 (UTC)","N/A","n/e","n/e","3082","9596","0","n/e","n/e","n/e","0","","651","n/e","n/e","7810","76","n/e","0","n/e","3377","3425"
"United Kingdom (UK)","22.02.2015 23:30 - 23.02.2015 00:00 (UTC)","N/A","n/e","n/e","2902","8878","0","n/e","n/e","n/e","0","","669","n/e","n/e","7802","76","n/e","0","n/e","3418","3260"
"United Kingdom (UK)","23.02.2015 00:00 - 23.02.2015 00:30 (UTC)","N/A","n/e","n/e","2849","9224","0","n/e","n/e","n/e","0","","673","n/e","n/e","7805","76","n/e","0","n/e","3373","3363"
"United Kingdom (UK)","23.02.2015 00:30 - 23.02.2015 01:00 (UTC)","N/A","n/e","n/e","2925","9722","0","n/e","n/e","n/e","0","","678","n/e","n/e","7793","76","n/e","0","n/e","3301","3440"
"United Kingdom (UK)","23.02.2015 01:00 - 23.02.2015 01:30 (UTC)","N/A","n/e","n/e","2844","10317","0","n/e","n/e","n/e","0","","559","n/e","n/e","7792","74","n/e","0","n/e","3392","3509"
"United Kingdom (UK)","23.02.2015 01:30 - 23.02.2015 02:00 (UTC)","N/A","n/e","n/e","2837","10470","0","n/e","n/e","n/e","0","","526","n/e","n/e","7681","73","n/e","0","n/e","3400","3656"
"United Kingdom (UK)","23.02.2015 02:00 - 23.02.2015 02:30 (UTC)","N/A","n/e","n/e","2876","10514","0","n/e","n/e","n/e","0","","525","n/e","n/e","7573","72","n/e","0","n/e","3274","3540"
"United Kingdom (UK)","23.02.2015 02:30 - 23.02.2015 03:00 (UTC)","N/A","n/e","n/e","2878","10601","0","n/e","n/e","n/e","0","","536","n/e","n/e","7562","75","n/e","0","n/e","3238","3541"
"United Kingdom (UK)","23.02.2015 03:00 - 23.02.2015 03:30 (UTC)","N/A","n/e","n/e","2883","10330","0","n/e","n/e","n/e","0","","521","n/e","n/e","7560","75","n/e","0","n/e","3228","3566"
"United Kingdom (UK)","23.02.2015 03:30 - 23.02.2015 04:00 (UTC)","N/A","n/e","n/e","2844","10041","0","n/e","n/e","n/e","0","","510","n/e","n/e","7567","75","n/e","0","n/e","3067","3444"
"United Kingdom (UK)","23.02.2015 04:00 - 23.02.2015 04:30 (UTC)","N/A","n/e","n/e","2892","9889","0","n/e","n/e","n/e","0","","510","n/e","n/e","7568","75","n/e","0","n/e","3039","3447"
"United Kingdom (UK)","23.02.2015 04:30 - 23.02.2015 05:00 (UTC)","N/A","n/e","n/e","3087","9608","0","n/e","n/e","n/e","0","","514","n/e","n/e","7578","75","n/e","0","n/e","3145","3460"
"United Kingdom (UK)","23.02.2015 05:00 - 23.02.2015 05:30 (UTC)","N/A","n/e","n/e","3762","10365","0","n/e","n/e","n/e","0","","527","n/e","n/e","7611","75","n/e","0","n/e","3073","3223"
"United Kingdom (UK)","23.02.2015 05:30 - 23.02.2015 06:00 (UTC)","N/A","n/e","n/e","4800","10095","0","n/e","n/e","n/e","0","","526","n/e","n/e","7755","76","n/e","0","n/e","3148","3342"
"United Kingdom (UK)","23.02.2015 06:00 - 23.02.2015 06:30 (UTC)","N/A","n/e","n/e","5925","10906","0","n/e","n/e","n/e","0","","533","n/e","n/e","7799","76","n/e","0","n/e","3205","3308"
"United Kingdom (UK)","23.02.2015 06:30 - 23.02.2015 07:00 (UTC)","N/A","n/e","n/e","7248","12844","0","n/e","n/e","n/e","0","","549","n/e","n/e","7802","75","n/e","0","n/e","3215","3345"
"United Kingdom (UK)","23.02.2015 07:00 - 23.02.2015 07:30 (UTC)","N/A","n/e","n/e","8468","14358","0","n/e","n/e","n/e","231","","698","n/e","n/e","7803","75","n/e","0","n/e","3251","3606"
"United Kingdom (UK)","23.02.2015 07:30 - 23.02.2015 08:00 (UTC)","N/A","n/e","n/e","9246","14873","0","n/e","n/e","n/e","287","","691","n/e","n/e","7804","75","n/e","0","n/e","3297","3749"
"United Kingdom (UK)","23.02.2015 08:00 - 23.02.2015 08:30 (UTC)","N/A","n/e","n/e","9817","15190","0","n/e","n/e","n/e","292","","689","n/e","n/e","7808","74","n/e","76","n/e","3336","3960"
"United Kingdom (UK)","23.02.2015 08:30 - 23.02.2015 09:00 (UTC)","N/A","n/e","n/e","9666","15497","0","n/e","n/e","n/e","289","","617","n/e","n/e","7808","74","n/e","261","n/e","3340","4108"
"United Kingdom (UK)","23.02.2015 09:00 - 23.02.2015 09:30 (UTC)","N/A","n/e","n/e","10061","15718","0","n/e","n/e","n/e","316","","607","n/e","n/e","7805","75","n/e","446","n/e","3334","4138"
"United Kingdom (UK)","23.02.2015 09:30 - 23.02.2015 10:00 (UTC)","N/A","n/e","n/e","9872","15760","0","n/e","n/e","n/e","325","","609","n/e","n/e","7809","75","n/e","756","n/e","3366","4192"
"United Kingdom (UK)","23.02.2015 10:00 - 23.02.2015 10:30 (UTC)","N/A","n/e","n/e","9600","15609","0","n/e","n/e","n/e","312","","595","n/e","n/e","7800","75","n/e","1065","n/e","3342","4268"
"United Kingdom (UK)","23.02.2015 10:30 - 23.02.2015 11:00 (UTC)","N/A","n/e","n/e","9502","15557","0","n/e","n/e","n/e","306","","590","n/e","n/e","7807","76","n/e","1221","n/e","3335","4256"
"United Kingdom (UK)","23.02.2015 11:00 - 23.02.2015 11:30 (UTC)","N/A","n/e","n/e","9386","15589","0","n/e","n/e","n/e","356","","592","n/e","n/e","7815","75","n/e","1377","n/e","3277","4447"
"United Kingdom (UK)","23.02.2015 11:30 - 23.02.2015 12:00 (UTC)","N/A","n/e","n/e","9063","15827","0","n/e","n/e","n/e","321","","591","n/e","n/e","7809","75","n/e","1558","n/e","3259","4505"
"United Kingdom (UK)","23.02.2015 12:00 - 23.02.2015 12:30 (UTC)","N/A","n/e","n/e","8882","16142","0","n/e","n/e","n/e","308","","572","n/e","n/e","7802","76","n/e","1739","n/e","3296","4522"
"United Kingdom (UK)","23.02.2015 12:30 - 23.02.2015 13:00 (UTC)","N/A","n/e","n/e","8622","16172","0","n/e","n/e","n/e","372","","597","n/e","n/e","7804","76","n/e","1699","n/e","3322","4571"
