"Balancing Time Unit (UTC)","+ Imbalance Price [GBP/MWh] - MBA|GB","- Imbalance Price [GBP/MWh] - MBA|GB","Total Imbalance [MWh] - MBA|GB","Situation","Status"
"03.01.2018 20:30 - 03.01.2018 21:00","38.19","38.19","292","","Final"
"03.01.2018 21:00 - 03.01.2018 21:30","38.60","38.60","56","","Final"
"03.01.2018 21:30 - 03.01.2018 22:00","40.00","40.00","11","","Final"
"03.01.2018 22:00 - 03.01.2018 22:30","36.00","36.00","324","","Final"
"03.01.2018 22:30 - 03.01.2018 23:00","36.00","36.00","597","","Final"
"03.01.2018 23:00 - 03.01.2018 23:30","28.73","28.73","618","","Final"
"03.01.2018 23:30 - 04.01.2018 00:00","34.67","34.67","374","","Final"
"04.01.2018 00:00 - 04.01.2018 00:30","37.00","37.00","180","","Final"
"04.01.2018 00:30 - 04.01.2018 01:00","57.50","57.50","15","","Final"
"04.01.2018 01:00 - 04.01.2018 01:30","35.32","35.32","256","","Final"
"04.01.2018 01:30 - 04.01.2018 02:00","35.00","35.00","364","","Final"
"04.01.2018 02:00 - 04.01.2018 02:30","36.01","36.01","316","","Final"
"04.01.2018 02:30 - 04.01.2018 03:00","36.01","36.01","163","","Final"
"04.01.2018 03:00 - 04.01.2018 03:30","35.60","35.60","341","","Final"
"04.01.2018 03:30 - 04.01.2018 04:00","35.89","35.89","160","","Final"
"04.01.2018 04:00 - 04.01.2018 04:30","36.18","36.18","78","","Final"
"04.01.2018 04:30 - 04.01.2018 05:00","35.33","35.33","182","","Final"
"04.01.2018 05:00 - 04.01.2018 05:30","36.01","36.01","241","","Final"
"04.01.2018 05:30 - 04.01.2018 06:00","35.92","35.92","294","","Final"
"04.01.2018 06:00 - 04.01.2018 06:30","35.00","35.00","543","","Final"
"04.01.2018 06:30 - 04.01.2018 07:00","28.00","28.00","973","","Final"
"04.01.2018 07:00 - 04.01.2018 07:30","4.64","4.64","1178","","Final"
"04.01.2018 07:30 - 04.01.2018 08:00","36.00","36.00","1335","","Final"
"04.01.2018 08:00 - 04.01.2018 08:30","36.00","36.00","600","","Final"
"04.01.2018 08:30 - 04.01.2018 09:00","36.47","36.47","646","","Final"
"04.01.2018 09:00 - 04.01.2018 09:30","38.41","38.41","477","","Final"
"04.01.2018 09:30 - 04.01.2018 10:00","39.70","39.70","221","","Final"
"04.01.2018 10:00 - 04.01.2018 10:30","40.70","40.70","94","","Final"
"04.01.2018 10:30 - 04.01.2018 11:00","69.38","69.38","409","","Final"
