"Balancing Time Unit (UTC)","+ Imbalance Price [GBP/MWh] - MBA|GB","- Imbalance Price [GBP/MWh] - MBA|GB","Total Imbalance [MWh] - MBA|GB","Situation","Status"
"16.07.2018 11:00 - 16.07.2018 11:30","100.50","100.50","196","","Final"
"16.07.2018 11:30 - 16.07.2018 12:00","44.96","44.96","-161","","Final"
"16.07.2018 12:00 - 16.07.2018 12:30","48.36","48.36","-36","","Final"
"16.07.2018 12:30 - 16.07.2018 13:00","86.81","86.81","21","","Final"
"16.07.2018 13:00 - 16.07.2018 13:30","88.00","88.00","79","","Final"
"16.07.2018 13:30 - 16.07.2018 14:00","88.00","88.00","77","","Final"
"16.07.2018 14:00 - 16.07.2018 14:30","92.89","92.89","83","","Final"
"16.07.2018 14:30 - 16.07.2018 15:00","94.26","94.26","267","","Final"
"16.07.2018 15:00 - 16.07.2018 15:30","99.41","99.41","105","","Final"
"16.07.2018 15:30 - 16.07.2018 16:00","94.25","94.25","50","","Final"
"16.07.2018 16:00 - 16.07.2018 16:30","102.39","102.39","62","","Final"
"16.07.2018 16:30 - 16.07.2018 17:00","105.34","105.34","162","","Final"
"16.07.2018 17:00 - 16.07.2018 17:30","100.74","100.74","48","","Final"
"16.07.2018 17:30 - 16.07.2018 18:00","44.99","44.99","-19","","Final"
"16.07.2018 18:00 - 16.07.2018 18:30","44.80","44.80","-94","","Final"
"16.07.2018 18:30 - 16.07.2018 19:00","44.01","44.01","-181","","Final"
"16.07.2018 19:00 - 16.07.2018 19:30","44.37","44.37","-62","","Final"
"16.07.2018 19:30 - 16.07.2018 20:00","45.01","45.01","-20","","Final"
"16.07.2018 20:00 - 16.07.2018 20:30","74.76","74.76","329","","Final"
"16.07.2018 20:30 - 16.07.2018 21:00","73.50","73.50","168","","Final"
"16.07.2018 21:00 - 16.07.2018 21:30","68.50","68.50","83","","Final"
"16.07.2018 21:30 - 16.07.2018 22:00","44.96","44.96","-87","","Final"
"16.07.2018 22:00 - 16.07.2018 22:30","69.50","69.50","279","","Final"
"16.07.2018 22:30 - 16.07.2018 23:00","67.86","67.86","129","","Final"
"16.07.2018 23:00 - 16.07.2018 23:30","44.01","44.01","-256","","Final"
"16.07.2018 23:30 - 17.07.2018 00:00","44.01","44.01","-195","","Final"
"17.07.2018 00:00 - 17.07.2018 00:30","59.50","59.50","91","","Final"
"17.07.2018 00:30 - 17.07.2018 01:00","50.00","50.00","-12","","Final"
"17.07.2018 01:00 - 17.07.2018 01:30","41.09","41.09","-89","","Final"
"17.07.2018 01:30 - 17.07.2018 02:00","37.46","37.46","-230","","Final"
"17.07.2018 02:00 - 17.07.2018 02:30","37.53","37.53","-160","","Final"
"17.07.2018 02:30 - 17.07.2018 03:00","35.56","35.56","-262","","Final"
"17.07.2018 03:00 - 17.07.2018 03:30","39.50","39.50","-136","","Final"
"17.07.2018 03:30 - 17.07.2018 04:00","59.00","59.00","11","","Final"
"17.07.2018 04:00 - 17.07.2018 04:30","41.48","41.48","-104","","Final"
"17.07.2018 04:30 - 17.07.2018 05:00","39.50","39.50","-289","","Final"
"17.07.2018 05:00 - 17.07.2018 05:30","41.38","41.38","-582","","Final"
"17.07.2018 05:30 - 17.07.2018 06:00","34.71","34.71","-837","","Final"
"17.07.2018 06:00 - 17.07.2018 06:30","32.37","32.37","-852","","Final"
"17.07.2018 06:30 - 17.07.2018 07:00","43.51","43.51","-339","","Final"
"17.07.2018 07:00 - 17.07.2018 07:30","46.70","46.70","-155","","Final"
"17.07.2018 07:30 - 17.07.2018 08:00","45.25","45.25","-214","","Final"
"17.07.2018 08:00 - 17.07.2018 08:30","45.55","45.55","-191","","Final"
"17.07.2018 08:30 - 17.07.2018 09:00","45.00","45.00","-387","","Final"
"17.07.2018 09:00 - 17.07.2018 09:30","45.00","45.00","-367","","Final"
"17.07.2018 09:30 - 17.07.2018 10:00","45.64","45.64","-188","","Final"
"17.07.2018 10:00 - 17.07.2018 10:30","84.73","84.73","19","","Final"
"17.07.2018 10:30 - 17.07.2018 11:00","92.75","92.75","150","","Final"
"17.07.2018 11:00 - 17.07.2018 11:30","127.30","127.30","844","","Final"
"17.07.2018 11:30 - 17.07.2018 12:00","106.47","106.47","822","","Final"
"17.07.2018 12:00 - 17.07.2018 12:30","98.90","98.90","695","","Final"
"17.07.2018 12:30 - 17.07.2018 13:00","85.00","85.00","458","","Final"
"17.07.2018 13:00 - 17.07.2018 13:30","85.00","85.00","454","","Final"
"17.07.2018 13:30 - 17.07.2018 14:00","85.00","85.00","202","","Final"
"17.07.2018 14:00 - 17.07.2018 14:30","45.20","45.20","-54","","Final"
"17.07.2018 14:30 - 17.07.2018 15:00","45.54","45.54","-114","","Final"
"17.07.2018 15:00 - 17.07.2018 15:30","85.00","85.00","81","","Final"
"17.07.2018 15:30 - 17.07.2018 16:00","106.44","106.44","421","","Final"
"17.07.2018 16:00 - 17.07.2018 16:30","97.56","97.56","160","","Final"
"17.07.2018 16:30 - 17.07.2018 17:00","45.10","45.10","-1","","Final"
"17.07.2018 17:00 - 17.07.2018 17:30","45.30","45.30","-25","","Final"
"17.07.2018 17:30 - 17.07.2018 18:00","97.00","97.00","136","","Final"
"17.07.2018 18:00 - 17.07.2018 18:30","86.95","86.95","18","","Final"
"17.07.2018 18:30 - 17.07.2018 19:00","58.20","58.20","10","","Final"
"17.07.2018 19:00 - 17.07.2018 19:30","108.10","108.10","140","","Final"
"17.07.2018 19:30 - 17.07.2018 20:00","94.49","94.49","12","","Final"
"17.07.2018 20:00 - 17.07.2018 20:30","44.75","44.75","-117","","Final"
"17.07.2018 20:30 - 17.07.2018 21:00","41.56","41.56","-159","","Final"
"17.07.2018 21:00 - 17.07.2018 21:30","45.09","45.09","-146","","Final"
"17.07.2018 21:30 - 17.07.2018 22:00","44.75","44.75","-477","","Final"
"17.07.2018 22:00 - 17.07.2018 22:30","45.13","45.13","-155","","Final"
"17.07.2018 22:30 - 17.07.2018 23:00","69.50","69.50","125","","Final"
"17.07.2018 23:00 - 17.07.2018 23:30","45.02","45.02","-216","","Final"
"17.07.2018 23:30 - 18.07.2018 00:00","44.95","44.95","-258","","Final"
"18.07.2018 00:00 - 18.07.2018 00:30","43.35","43.35","-237","","Final"
"18.07.2018 00:30 - 18.07.2018 01:00","44.25","44.25","-50","","Final"
"18.07.2018 01:00 - 18.07.2018 01:30","59.50","59.50","25","","Final"
"18.07.2018 01:30 - 18.07.2018 02:00","59.50","59.50","98","","Final"
"18.07.2018 02:00 - 18.07.2018 02:30","59.50","59.50","31","","Final"
"18.07.2018 02:30 - 18.07.2018 03:00","59.50","59.50","77","","Final"
"18.07.2018 03:00 - 18.07.2018 03:30","59.50","59.50","70","","Final"
"18.07.2018 03:30 - 18.07.2018 04:00","59.50","59.50","54","","Final"
"18.07.2018 04:00 - 18.07.2018 04:30","59.50","59.50","20","","Final"
"18.07.2018 04:30 - 18.07.2018 05:00","45.94","45.94","-28","","Final"
"18.07.2018 05:00 - 18.07.2018 05:30","64.20","64.20","109","","Final"
"18.07.2018 05:30 - 18.07.2018 06:00","44.45","44.45","-226","","Final"
"18.07.2018 06:00 - 18.07.2018 06:30","44.83","44.83","-233","","Final"
"18.07.2018 06:30 - 18.07.2018 07:00","46.18","46.18","-99","","Final"
"18.07.2018 07:00 - 18.07.2018 07:30","77.00","77.00","146","","Final"
"18.07.2018 07:30 - 18.07.2018 08:00","83.75","83.75","118","","Final"
"18.07.2018 08:00 - 18.07.2018 08:30","99.36","99.36","182","","Final"
"18.07.2018 08:30 - 18.07.2018 09:00","111.36","111.36","149","","Final"
"18.07.2018 09:00 - 18.07.2018 09:30","105.93","105.93","41","","Final"
"18.07.2018 09:30 - 18.07.2018 10:00","45.39","45.39","-11","","Final"
"18.07.2018 10:00 - 18.07.2018 10:30","45.09","45.09","-57","","Final"
"18.07.2018 10:30 - 18.07.2018 11:00","90.00","90.00","62","","Final"
"18.07.2018 11:00 - 18.07.2018 11:30","90.50","90.50","262","","Final"
"18.07.2018 11:30 - 18.07.2018 12:00","89.71","89.71","227","","Final"
"18.07.2018 12:00 - 18.07.2018 12:30","53.22","53.22","112","","Final"
"18.07.2018 12:30 - 18.07.2018 13:00","45.00","45.00","-31","","Final"
"18.07.2018 13:00 - 18.07.2018 13:30","44.97","44.97","-229","","Final"
"18.07.2018 13:30 - 18.07.2018 14:00","45.00","45.00","-281","","Final"
"18.07.2018 14:00 - 18.07.2018 14:30","39.41","39.41","-214","","Final"
"18.07.2018 14:30 - 18.07.2018 15:00","45.13","45.13","-32","","Final"
"18.07.2018 15:00 - 18.07.2018 15:30","83.80","83.80","61","","Final"
"18.07.2018 15:30 - 18.07.2018 16:00","59.07","59.07","106","","Final"
"18.07.2018 16:00 - 18.07.2018 16:30","90.00","90.00","5","","Final"
"18.07.2018 16:30 - 18.07.2018 17:00","37.35","37.35","80","","Final"
"18.07.2018 17:00 - 18.07.2018 17:30","45.25","45.25","-42","","Final"
"18.07.2018 17:30 - 18.07.2018 18:00","45.25","45.25","-104","","Final"
"18.07.2018 18:00 - 18.07.2018 18:30","45.25","45.25","-156","","Final"
"18.07.2018 18:30 - 18.07.2018 19:00","59.48","59.48","117","","Final"
"18.07.2018 19:00 - 18.07.2018 19:30","45.42","45.42","-111","","Final"
"18.07.2018 19:30 - 18.07.2018 20:00","46.45","46.45","-21","","Final"
"18.07.2018 20:00 - 18.07.2018 20:30","73.00","73.00","140","","Final"
"18.07.2018 20:30 - 18.07.2018 21:00","73.00","73.00","150","","Final"
"18.07.2018 21:00 - 18.07.2018 21:30","73.00","73.00","194","","Final"
"18.07.2018 21:30 - 18.07.2018 22:00","44.99","44.99","-382","","Final"
"18.07.2018 22:00 - 18.07.2018 22:30","45.51","45.51","-94","","Final"
"18.07.2018 22:30 - 18.07.2018 23:00","69.22","69.22","143","","Final"
"18.07.2018 23:00 - 18.07.2018 23:30","62.00","62.00","29","","Final"
"18.07.2018 23:30 - 19.07.2018 00:00","45.51","45.51","-81","","Final"
"19.07.2018 00:00 - 19.07.2018 00:30","45.51","45.51","-83","","Final"
"19.07.2018 00:30 - 19.07.2018 01:00","43.25","43.25","-106","","Final"
"19.07.2018 01:00 - 19.07.2018 01:30","42.04","42.04","-200","","Final"
"19.07.2018 01:30 - 19.07.2018 02:00","40.52","40.52","-162","","Final"
"19.07.2018 02:00 - 19.07.2018 02:30","42.92","42.92","-130","","Final"
"19.07.2018 02:30 - 19.07.2018 03:00","42.92","42.92","-120","","Final"
"19.07.2018 03:00 - 19.07.2018 03:30","41.98","41.98","-169","","Final"
"19.07.2018 03:30 - 19.07.2018 04:00","39.93","39.93","-200","","Final"
"19.07.2018 04:00 - 19.07.2018 04:30","42.27","42.27","-88","","Final"
"19.07.2018 04:30 - 19.07.2018 05:00","42.74","42.74","-192","","Final"
"19.07.2018 05:00 - 19.07.2018 05:30","42.53","42.53","-185","","Final"
"19.07.2018 05:30 - 19.07.2018 06:00","43.25","43.25","-334","","Final"
"19.07.2018 06:00 - 19.07.2018 06:30","45.00","45.00","-179","","Final"
"19.07.2018 06:30 - 19.07.2018 07:00","56.69","56.69","55","","Final"
"19.07.2018 07:00 - 19.07.2018 07:30","81.87","81.87","153","","Final"
"19.07.2018 07:30 - 19.07.2018 08:00","79.00","79.00","84","","Final"
"19.07.2018 08:00 - 19.07.2018 08:30","85.42","85.42","52","","Final"
"19.07.2018 08:30 - 19.07.2018 09:00","53.18","53.18","77","","Final"
"19.07.2018 09:00 - 19.07.2018 09:30","43.41","43.41","-76","","Final"
"19.07.2018 09:30 - 19.07.2018 10:00","43.13","43.13","-59","","Final"
"19.07.2018 10:00 - 19.07.2018 10:30","65.00","65.00","6","","Final"
"19.07.2018 10:30 - 19.07.2018 11:00","43.50","43.50","-71","","Final"
"19.07.2018 11:00 - 19.07.2018 11:30","69.98","69.98","25","","Final"
"19.07.2018 11:30 - 19.07.2018 12:00","42.90","42.90","-58","","Final"
"19.07.2018 12:00 - 19.07.2018 12:30","42.90","42.90","-199","","Final"
"19.07.2018 12:30 - 19.07.2018 13:00","42.90","42.90","-167","","Final"
"19.07.2018 13:00 - 19.07.2018 13:30","43.29","43.29","-186","","Final"
"19.07.2018 13:30 - 19.07.2018 14:00","42.90","42.90","-267","","Final"
"19.07.2018 14:00 - 19.07.2018 14:30","43.66","43.66","-126","","Final"
"19.07.2018 14:30 - 19.07.2018 15:00","45.55","45.55","-5","","Final"
"19.07.2018 15:00 - 19.07.2018 15:30","42.90","42.90","-129","","Final"
"19.07.2018 15:30 - 19.07.2018 16:00","43.17","43.17","-62","","Final"
"19.07.2018 16:00 - 19.07.2018 16:30","42.90","42.90","-83","","Final"
"19.07.2018 16:30 - 19.07.2018 17:00","40.32","40.32","68","","Final"
"19.07.2018 17:00 - 19.07.2018 17:30","43.09","43.09","-42","","Final"
"19.07.2018 17:30 - 19.07.2018 18:00","45.60","45.60","-90","","Final"
"19.07.2018 18:00 - 19.07.2018 18:30","45.95","45.95","-30","","Final"
"19.07.2018 18:30 - 19.07.2018 19:00","89.95","89.95","17","","Final"
"19.07.2018 19:00 - 19.07.2018 19:30","44.54","44.54","-122","","Final"
"19.07.2018 19:30 - 19.07.2018 20:00","71.82","71.82","18","","Final"
"19.07.2018 20:00 - 19.07.2018 20:30","72.50","72.50","253","","Final"
"19.07.2018 20:30 - 19.07.2018 21:00","85.17","85.17","414","","Final"
"19.07.2018 21:00 - 19.07.2018 21:30","71.50","71.50","306","","Final"
"19.07.2018 21:30 - 19.07.2018 22:00","45.55","45.55","-171","","Final"
"19.07.2018 22:00 - 19.07.2018 22:30","67.95","67.95","155","","Final"
"19.07.2018 22:30 - 19.07.2018 23:00","69.00","69.00","262","","Final"
"19.07.2018 23:00 - 19.07.2018 23:30","45.58","45.58","-67","","Final"
"19.07.2018 23:30 - 20.07.2018 00:00","45.25","45.25","-43","","Final"
"20.07.2018 00:00 - 20.07.2018 00:30","44.12","44.12","-104","","Final"
"20.07.2018 00:30 - 20.07.2018 01:00","39.70","39.70","-152","","Final"
"20.07.2018 01:00 - 20.07.2018 01:30","39.70","39.70","-129","","Final"
"20.07.2018 01:30 - 20.07.2018 02:00","45.25","45.25","-44","","Final"
"20.07.2018 02:00 - 20.07.2018 02:30","58.99","58.99","22","","Final"
"20.07.2018 02:30 - 20.07.2018 03:00","43.22","43.22","-113","","Final"
"20.07.2018 03:00 - 20.07.2018 03:30","41.44","41.44","-48","","Final"
"20.07.2018 03:30 - 20.07.2018 04:00","58.99","58.99","52","","Final"
"20.07.2018 04:00 - 20.07.2018 04:30","59.00","59.00","118","","Final"
"20.07.2018 04:30 - 20.07.2018 05:00","45.17","45.17","-90","","Final"
"20.07.2018 05:00 - 20.07.2018 05:30","60.00","60.00","15","","Final"
"20.07.2018 05:30 - 20.07.2018 06:00","44.46","44.46","-224","","Final"
"20.07.2018 06:00 - 20.07.2018 06:30","43.85","43.85","-382","","Final"
"20.07.2018 06:30 - 20.07.2018 07:00","45.55","45.55","-9","","Final"
"20.07.2018 07:00 - 20.07.2018 07:30","45.44","45.44","-111","","Final"
"20.07.2018 07:30 - 20.07.2018 08:00","50.00","50.00","16","","Final"
"20.07.2018 08:00 - 20.07.2018 08:30","41.19","41.19","80","","Final"
"20.07.2018 08:30 - 20.07.2018 09:00","50.00","50.00","146","","Final"
"20.07.2018 09:00 - 20.07.2018 09:30","38.58","38.58","110","","Final"
"20.07.2018 09:30 - 20.07.2018 10:00","37.35","37.35","133","","Final"
"20.07.2018 10:00 - 20.07.2018 10:30","37.35","37.35","38","","Final"
"20.07.2018 10:30 - 20.07.2018 11:00","55.84","55.84","-71","","Final"
"20.07.2018 11:00 - 20.07.2018 11:30","55.11","55.11","-25","","Final"
"20.07.2018 11:30 - 20.07.2018 12:00","45.20","45.20","-124","","Final"
"20.07.2018 12:00 - 20.07.2018 12:30","45.52","45.52","-125","","Final"
"20.07.2018 12:30 - 20.07.2018 13:00","45.17","45.17","-200","","Final"
"20.07.2018 13:00 - 20.07.2018 13:30","45.17","45.17","-117","","Final"
"20.07.2018 13:30 - 20.07.2018 14:00","69.00","69.00","178","","Final"
"20.07.2018 14:00 - 20.07.2018 14:30","68.95","68.95","77","","Final"
"20.07.2018 14:30 - 20.07.2018 15:00","45.73","45.73","-59","","Final"
"20.07.2018 15:00 - 20.07.2018 15:30","45.55","45.55","-148","","Final"
"20.07.2018 15:30 - 20.07.2018 16:00","45.78","45.78","-17","","Final"
"20.07.2018 16:00 - 20.07.2018 16:30","45.55","45.55","-202","","Final"
"20.07.2018 16:30 - 20.07.2018 17:00","64.97","64.97","-8","","Final"
"20.07.2018 17:00 - 20.07.2018 17:30","66.04","66.04","-37","","Final"
"20.07.2018 17:30 - 20.07.2018 18:00","45.55","45.55","-131","","Final"
"20.07.2018 18:00 - 20.07.2018 18:30","44.09","44.09","-227","","Final"
"20.07.2018 18:30 - 20.07.2018 19:00","44.79","44.79","-288","","Final"
"20.07.2018 19:00 - 20.07.2018 19:30","45.34","45.34","-418","","Final"
"20.07.2018 19:30 - 20.07.2018 20:00","45.38","45.38","-439","","Final"
"20.07.2018 20:00 - 20.07.2018 20:30","45.18","45.18","-232","","Final"
"20.07.2018 20:30 - 20.07.2018 21:00","45.52","45.52","-276","","Final"
"20.07.2018 21:00 - 20.07.2018 21:30","45.54","45.54","-290","","Final"
"20.07.2018 21:30 - 20.07.2018 22:00","45.52","45.52","-335","","Final"
"20.07.2018 22:00 - 20.07.2018 22:30","45.55","45.55","-179","","Final"
"20.07.2018 22:30 - 20.07.2018 23:00","71.55","71.55","184","","Final"
"20.07.2018 23:00 - 20.07.2018 23:30","41.36","41.36","-72","","Final"
"20.07.2018 23:30 - 21.07.2018 00:00","40.89","40.89","-407","","Final"
"21.07.2018 00:00 - 21.07.2018 00:30","45.25","45.25","-348","","Final"
"21.07.2018 00:30 - 21.07.2018 01:00","45.55","45.55","-48","","Final"
"21.07.2018 01:00 - 21.07.2018 01:30","49.47","49.47","-39","","Final"
"21.07.2018 01:30 - 21.07.2018 02:00","50.00","50.00","-153","","Final"
"21.07.2018 02:00 - 21.07.2018 02:30","44.70","44.70","-198","","Final"
"21.07.2018 02:30 - 21.07.2018 03:00","47.54","47.54","-57","","Final"
"21.07.2018 03:00 - 21.07.2018 03:30","49.70","49.70","-24","","Final"
"21.07.2018 03:30 - 21.07.2018 04:00","49.04","49.04","-121","","Final"
"21.07.2018 04:00 - 21.07.2018 04:30","47.94","47.94","-41","","Final"
"21.07.2018 04:30 - 21.07.2018 05:00","47.00","47.00","-36","","Final"
"21.07.2018 05:00 - 21.07.2018 05:30","41.10","41.10","-168","","Final"
"21.07.2018 05:30 - 21.07.2018 06:00","41.05","41.05","-205","","Final"
"21.07.2018 06:00 - 21.07.2018 06:30","44.51","44.51","-272","","Final"
"21.07.2018 06:30 - 21.07.2018 07:00","45.55","45.55","-66","","Final"
"21.07.2018 07:00 - 21.07.2018 07:30","45.55","45.55","-27","","Final"
"21.07.2018 07:30 - 21.07.2018 08:00","79.50","79.50","205","","Final"
"21.07.2018 08:00 - 21.07.2018 08:30","82.97","82.97","255","","Final"
"21.07.2018 08:30 - 21.07.2018 09:00","79.50","79.50","22","","Final"
"21.07.2018 09:00 - 21.07.2018 09:30","79.50","79.50","94","","Final"
"21.07.2018 09:30 - 21.07.2018 10:00","45.49","45.49","-43","","Final"
"21.07.2018 10:00 - 21.07.2018 10:30","84.95","84.95","226","","Final"
"21.07.2018 10:30 - 21.07.2018 11:00","79.50","79.50","37","","Final"
"21.07.2018 11:00 - 21.07.2018 11:30","45.40","45.40","-71","","Final"
"21.07.2018 11:30 - 21.07.2018 12:00","45.40","45.40","-73","","Final"
"21.07.2018 12:00 - 21.07.2018 12:30","45.40","45.40","-153","","Final"
"21.07.2018 12:30 - 21.07.2018 13:00","45.37","45.37","-263","","Final"
"21.07.2018 13:00 - 21.07.2018 13:30","45.37","45.37","-331","","Final"
"21.07.2018 13:30 - 21.07.2018 14:00","45.40","45.40","-212","","Final"
"21.07.2018 14:00 - 21.07.2018 14:30","45.37","45.37","-244","","Final"
"21.07.2018 14:30 - 21.07.2018 15:00","44.70","44.70","-502","","Final"
"21.07.2018 15:00 - 21.07.2018 15:30","44.77","44.77","-405","","Final"
"21.07.2018 15:30 - 21.07.2018 16:00","45.01","45.01","-228","","Final"
"21.07.2018 16:00 - 21.07.2018 16:30","79.50","79.50","72","","Final"
"21.07.2018 16:30 - 21.07.2018 17:00","85.89","85.89","192","","Final"
"21.07.2018 17:00 - 21.07.2018 17:30","67.90","67.90","121","","Final"
"21.07.2018 17:30 - 21.07.2018 18:00","37.35","37.35","53","","Final"
"21.07.2018 18:00 - 21.07.2018 18:30","38.68","38.68","37","","Final"
"21.07.2018 18:30 - 21.07.2018 19:00","45.01","45.01","-55","","Final"
"21.07.2018 19:00 - 21.07.2018 19:30","45.01","45.01","-119","","Final"
"21.07.2018 19:30 - 21.07.2018 20:00","43.11","43.11","16","","Final"
"21.07.2018 20:00 - 21.07.2018 20:30","44.74","44.74","-112","","Final"
"21.07.2018 20:30 - 21.07.2018 21:00","39.90","39.90","4","","Final"
"21.07.2018 21:00 - 21.07.2018 21:30","45.28","45.28","-196","","Final"
"21.07.2018 21:30 - 21.07.2018 22:00","44.92","44.92","-337","","Final"
"21.07.2018 22:00 - 21.07.2018 22:30","45.22","45.22","-327","","Final"
"21.07.2018 22:30 - 21.07.2018 23:00","36.04","36.04","-339","","Final"
"21.07.2018 23:00 - 21.07.2018 23:30","41.58","41.58","-62","","Final"
"21.07.2018 23:30 - 22.07.2018 00:00","44.35","44.35","-164","","Final"
"22.07.2018 00:00 - 22.07.2018 00:30","44.35","44.35","-276","","Final"
"22.07.2018 00:30 - 22.07.2018 01:00","40.00","40.00","-324","","Final"
"22.07.2018 01:00 - 22.07.2018 01:30","46.63","46.63","-146","","Final"
"22.07.2018 01:30 - 22.07.2018 02:00","46.66","46.66","-196","","Final"
"22.07.2018 02:00 - 22.07.2018 02:30","46.50","46.50","-273","","Final"
"22.07.2018 02:30 - 22.07.2018 03:00","37.55","37.55","-270","","Final"
"22.07.2018 03:00 - 22.07.2018 03:30","47.24","47.24","-126","","Final"
"22.07.2018 03:30 - 22.07.2018 04:00","46.72","46.72","-80","","Final"
"22.07.2018 04:00 - 22.07.2018 04:30","46.00","46.00","-73","","Final"
"22.07.2018 04:30 - 22.07.2018 05:00","45.71","45.71","-86","","Final"
"22.07.2018 05:00 - 22.07.2018 05:30","46.36","46.36","-152","","Final"
"22.07.2018 05:30 - 22.07.2018 06:00","46.63","46.63","-213","","Final"
"22.07.2018 06:00 - 22.07.2018 06:30","44.35","44.35","-313","","Final"
"22.07.2018 06:30 - 22.07.2018 07:00","40.00","40.00","-468","","Final"
"22.07.2018 07:00 - 22.07.2018 07:30","40.00","40.00","-404","","Final"
"22.07.2018 07:30 - 22.07.2018 08:00","47.92","47.92","-388","","Final"
"22.07.2018 08:00 - 22.07.2018 08:30","45.30","45.30","-130","","Final"
"22.07.2018 08:30 - 22.07.2018 09:00","62.75","62.75","48","","Final"
"22.07.2018 09:00 - 22.07.2018 09:30","68.61","68.61","210","","Final"
"22.07.2018 09:30 - 22.07.2018 10:00","69.69","69.69","149","","Final"
"22.07.2018 10:00 - 22.07.2018 10:30","25.00","25.00","-228","","Final"
"22.07.2018 10:30 - 22.07.2018 11:00","25.00","25.00","-378","","Final"
"22.07.2018 11:00 - 22.07.2018 11:30","33.43","33.43","-305","","Final"
"22.07.2018 11:30 - 22.07.2018 12:00","44.30","44.30","-395","","Final"
"22.07.2018 12:00 - 22.07.2018 12:30","29.02","29.02","-325","","Final"
"22.07.2018 12:30 - 22.07.2018 13:00","25.00","25.00","-553","","Final"
"22.07.2018 13:00 - 22.07.2018 13:30","25.00","25.00","-536","","Final"
"22.07.2018 13:30 - 22.07.2018 14:00","43.91","43.91","-400","","Final"
"22.07.2018 14:00 - 22.07.2018 14:30","44.11","44.11","-169","","Final"
"22.07.2018 14:30 - 22.07.2018 15:00","44.01","44.01","-34","","Final"
"22.07.2018 15:00 - 22.07.2018 15:30","45.06","45.06","-69","","Final"
"22.07.2018 15:30 - 22.07.2018 16:00","45.51","45.51","-32","","Final"
"22.07.2018 16:00 - 22.07.2018 16:30","45.30","45.30","-135","","Final"
"22.07.2018 16:30 - 22.07.2018 17:00","96.50","96.50","227","","Final"
"22.07.2018 17:00 - 22.07.2018 17:30","96.50","96.50","156","","Final"
"22.07.2018 17:30 - 22.07.2018 18:00","96.50","96.50","284","","Final"
"22.07.2018 18:00 - 22.07.2018 18:30","96.50","96.50","177","","Final"
"22.07.2018 18:30 - 22.07.2018 19:00","96.50","96.50","247","","Final"
"22.07.2018 19:00 - 22.07.2018 19:30","46.01","46.01","-18","","Final"
"22.07.2018 19:30 - 22.07.2018 20:00","88.98","88.98","87","","Final"
"22.07.2018 20:00 - 22.07.2018 20:30","88.98","88.98","30","","Final"
"22.07.2018 20:30 - 22.07.2018 21:00","88.98","88.98","156","","Final"
"22.07.2018 21:00 - 22.07.2018 21:30","88.98","88.98","25","","Final"
"22.07.2018 21:30 - 22.07.2018 22:00","45.23","45.23","-290","","Final"
"22.07.2018 22:00 - 22.07.2018 22:30","62.19","62.19","80","","Final"
"22.07.2018 22:30 - 22.07.2018 23:00","64.95","64.95","286","","Final"
"22.07.2018 23:00 - 22.07.2018 23:30","58.58","58.58","25","","Final"
"22.07.2018 23:30 - 23.07.2018 00:00","43.40","43.40","-128","","Final"
"23.07.2018 00:00 - 23.07.2018 00:30","45.01","45.01","-1","","Final"
"23.07.2018 00:30 - 23.07.2018 01:00","58.00","58.00","65","","Final"
"23.07.2018 01:00 - 23.07.2018 01:30","58.00","58.00","73","","Final"
"23.07.2018 01:30 - 23.07.2018 02:00","58.00","58.00","74","","Final"
"23.07.2018 02:00 - 23.07.2018 02:30","58.00","58.00","35","","Final"
"23.07.2018 02:30 - 23.07.2018 03:00","48.10","48.10","-128","","Final"
"23.07.2018 03:00 - 23.07.2018 03:30","48.21","48.21","-11","","Final"
"23.07.2018 03:30 - 23.07.2018 04:00","48.39","48.39","-85","","Final"
"23.07.2018 04:00 - 23.07.2018 04:30","41.20","41.20","-176","","Final"
"23.07.2018 04:30 - 23.07.2018 05:00","41.30","41.30","-149","","Final"
"23.07.2018 05:00 - 23.07.2018 05:30","50.11","50.11","-64","","Final"
"23.07.2018 05:30 - 23.07.2018 06:00","59.00","59.00","4","","Final"
"23.07.2018 06:00 - 23.07.2018 06:30","44.16","44.16","-407","","Final"
"23.07.2018 06:30 - 23.07.2018 07:00","37.09","37.09","-465","","Final"
"23.07.2018 07:00 - 23.07.2018 07:30","45.62","45.62","-184","","Final"
"23.07.2018 07:30 - 23.07.2018 08:00","78.96","78.96","41","","Final"
"23.07.2018 08:00 - 23.07.2018 08:30","68.42","68.42","89","","Final"
"23.07.2018 08:30 - 23.07.2018 09:00","37.35","37.35","68","","Final"
"23.07.2018 09:00 - 23.07.2018 09:30","45.05","45.05","-120","","Final"
"23.07.2018 09:30 - 23.07.2018 10:00","45.80","45.80","-228","","Final"
"23.07.2018 10:00 - 23.07.2018 10:30","45.90","45.90","-1","","Final"
"23.07.2018 10:30 - 23.07.2018 11:00","97.56","97.56","385","","Final"
"23.07.2018 11:00 - 23.07.2018 11:30","97.64","97.64","615","","Final"
"23.07.2018 11:30 - 23.07.2018 12:00","84.11","84.11","370","","Final"
"23.07.2018 12:00 - 23.07.2018 12:30","69.00","69.00","194","","Final"
"23.07.2018 12:30 - 23.07.2018 13:00","81.81","81.81","34","","Final"
"23.07.2018 13:00 - 23.07.2018 13:30","81.81","81.81","64","","Final"
"23.07.2018 13:30 - 23.07.2018 14:00","81.81","81.81","30","","Final"
