"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"United Kingdom (UK)","24.02.2019 14:00 - 24.02.2019 14:30 (CET)","1554","n/e","n/e","11685","70","0","n/e","n/e","n/e","151","","343","n/e","n/e","6441","71","n/e","6120","n/e","630","3232"
"United Kingdom (UK)","24.02.2019 14:30 - 24.02.2019 15:00 (CET)","1561","n/e","n/e","11506","70","0","n/e","n/e","n/e","160","","339","n/e","n/e","6422","69","n/e","5550","n/e","620","3261"
"United Kingdom (UK)","24.02.2019 15:00 - 24.02.2019 15:30 (CET)","1555","n/e","n/e","11426","70","0","n/e","n/e","n/e","155","","365","n/e","n/e","6435","67","n/e","4990","n/e","739","3162"
"United Kingdom (UK)","24.02.2019 15:30 - 24.02.2019 16:00 (CET)","1554","n/e","n/e","11556","70","0","n/e","n/e","n/e","152","","369","n/e","n/e","6430","67","n/e","4300","n/e","732","3014"
"United Kingdom (UK)","24.02.2019 16:00 - 24.02.2019 16:30 (CET)","1564","n/e","n/e","12286","70","0","n/e","n/e","n/e","553","","381","n/e","n/e","6423","69","n/e","3430","n/e","703","2988"
"United Kingdom (UK)","24.02.2019 16:30 - 24.02.2019 17:00 (CET)","1562","n/e","n/e","13425","105","0","n/e","n/e","n/e","416","","381","n/e","n/e","6422","69","n/e","2490","n/e","669","2960"
"United Kingdom (UK)","24.02.2019 17:00 - 24.02.2019 17:30 (CET)","1562","n/e","n/e","14811","226","0","n/e","n/e","n/e","592","","386","n/e","n/e","6426","69","n/e","1570","n/e","630","3202"
"United Kingdom (UK)","24.02.2019 17:30 - 24.02.2019 18:00 (CET)","1563","n/e","n/e","16925","325","0","n/e","n/e","n/e","421","","478","n/e","n/e","6444","71","n/e","716","n/e","539","3142"
"United Kingdom (UK)","24.02.2019 18:00 - 24.02.2019 18:30 (CET)","1558","n/e","n/e","18408","543","0","n/e","n/e","n/e","453","","577","n/e","n/e","6443","75","n/e","118","n/e","599","3233"
"United Kingdom (UK)","24.02.2019 18:30 - 24.02.2019 19:00 (CET)","1536","n/e","n/e","18995","593","0","n/e","n/e","n/e","1127","","575","n/e","n/e","6432","77","n/e","8","n/e","47","1505"
